1,Matter and Energy,The student knows that matter is composed of atoms and has chemical and physical properties
2,"Force, motion, and energy","The student knows that there is a relationship between force, motion, and energy."
3,Earth and space,"The students know the effects resulting from cyclical movements of the Sun, Earth, and Moon. The students know the characteristics of the universe. The students know that the natural events can impact Earth systems. The student knows that climactic interactions exist among Earth, ocean, and weather systems. "
4,Organisms and environments,The student knows that interdependence occurs among living systems and the environment and that human activities can affect these systems.
